character,dialogue,next_line
LUKE,i didn't know you were back! when did you get in? [EOL],just
BIGGS,"just now. i wanted to surprise you, hot shot. i thought you'd be here... certainly didn't expect you to be out working. [EOL]",the
LUKE,"the academy didn't change you much... but you're back so soon? hey, what happened, didn't you get your commission? [EOL]",of
BIGGS,of course i got it. signed aboard the rand ecliptic last week. first mate biggs darklighter at your service...... i just came back to say goodbye to all you unfortunate landlocked simpletons. [EOL],i
LUKE,i almost forgot. there's a battle going on! right here in our system. come and look! [EOL],not
DEAK,not again! forget it. [EOL],there
LUKE,there they are! [EOL],that's
BIGGS,"that's no battle, hot shot... they're just sitting there! probably a freighter-tanker refueling. [EOL]",but
LUKE,but there was a lot of firing earlier... [EOL],"hey,"
LUKE,"hey, easy with those... [EOL]",don't
CAMIE,"don't worry about it, wormie. [EOL]",i
FIXER,"i keep telling you, the rebellion is a long way from here. i doubt if the empire would even fight to keep this system. believe me luke, this planet is a big hunk of nothing... [EOL]",lord
LEIA,"lord vader, i should have known. only you could be so bold. the imperial senate will not sit stillfor this, when they hear you've attacked a diplomatic... [EOL]",don't
VADER,"don't play games with me, your highness. you weren't on any mercy mission this time. you passed directly through a restricted system. several transmissions were beamed to this ship by rebel spies. i want to know what happened to the plans they sent you. [EOL]",i
LEIA,i don't know what you're talking about. i'm a member of the imperial senate on a diplomatic mission to alderaan... [EOL],you're
VADER,you're a part of the rebel alliance... and a traitor. take her away! [EOL],holding
COMMANDER,"holding her is dangerous. if word of this gets out, it could generate sympathy for the rebellion in the senate. [EOL]",i
VADER,i have traced the rebel spies to her. now she is my only link to find their secret base! [EOL],you
COMMANDER,you anything. [EOL],leave
VADER,leave that to me. send a distress signal and then inform the senate that all aboard were killed! [EOL],lord
SECOND OFFICER,"lord vader, the battle station plans are not aboard this ship! and no transmissions were made. an escape pod was jettisoned during the fighting, but no life forms were aboard. [EOL]",she
VADER,"she must have hidden the plans in the escape pod. send a detachment down to retrieve them. see to it personally, commander. there'll be no one to stop us this time. [EOL]","yes,"
COMMANDER,"yes, sir. [EOL]",how
THREEPIO,how did i get into this mess? i really don't know how. we seem to be made to suffer. it's our lot in life. [EOL],i've
THREEPIO,i've got to rest before i fall apart. my joints are almost frozen. [EOL],what
THREEPIO,what a desolate place this is. [EOL],where
THREEPIO,where are you going? [EOL],"well,"
THREEPIO,"well, i'm not going that way. it's much too rocky. this way is much easier. [EOL]",what
THREEPIO,what makes you think there are settlements over there? [EOL],don't
THREEPIO,don't get technical with me. [EOL],what
THREEPIO,"what mission? what are you talking about? i've had just about enough of you! go that way! you'll be malfunctioning within a day, you nearsighted scrap pile! [EOL]",and
THREEPIO,"and don't let me catch you following me begging for help, because you won't get it. [EOL]",no
THREEPIO,no more adventures. i'm not going that way. [EOL],that
THREEPIO,"that malfunctioning little twerp. this is all his fault! he tricked me into going this way, but he'll do no better. [EOL]","wait,"
THREEPIO,"wait, what's that? a transport! i'm saved! [EOL]",over
THREEPIO,"over here! help! please, help! [EOL]",...
LUKE,"... so i cut off my power, shut down the afterburners and came in low on deak's trail. i was so close i thought i was going to fry my instruments. as it was i busted up the skyhopper pretty bad. uncle owen was pretty upset. he grounded me for the rest of the season. you should have been there... it was fantastic. [EOL]",you
BIGGS,"you ought to take it a little easy luke. you may be the hottest bushpilot this side of mos eisley, but those little skyhoppers are dangerous. keep it up, and one day, whammo, you're going to be nothing more than a dark spot on the down side of a canyon wall. [EOL]",look
LUKE,look who's talking. now that you've been around those giant starships you're beginning to sound like my uncle. you've gotten soft in the city... [EOL],i've
BIGGS,i've missed you kid. [EOL],"well,"
LUKE,"well, things haven't been the same since you left, biggs. it's been so...quiet. [EOL]","luke,"
BIGGS,"luke, i didn't come back just to say goodbye... i shouldn't tell you this, but you're the only one i can trust... and if i don't come back, i want somebody to know. [EOL]",what
LUKE,what are you talking about? [EOL],i
BIGGS,"i made some friends at the academy. ... when our frigate goes to one of the central systems, we're going to jump ship and join the alliance... [EOL]",join
LUKE,join the rebellion?! are you kidding! how? [EOL],quiet
BIGGS,quiet down will ya! you got a mouth bigger than a meteor crater! [EOL],i'm
LUKE,i'm sorry. i'm quiet. listen how quiet i am. you can barely hear me... [EOL],my
BIGGS,my friend has a friend on bestine who might help us make contact. [EOL],around
LUKE,around forever trying to find them. [EOL],i
BIGGS,"i know it's a long shot, but if i don't find them i'll do what i can on my own... it's what we always talked about. luke, i'm not going to wait for the empire to draft me into service. the rebellion is spreading and i want to be on the right side - the side i believe in. [EOL]",and
LUKE,and i'm stuck here... [EOL],i
BIGGS,i thought you were going to the academy next term. you'll get your chance to get off this rock. [EOL],not
LUKE,not likely! i had to cancel my application. there has been a lot of unrest among the sand people since you left... they've even raided the outskirts of anchorhead. [EOL],your
BIGGS,your uncle could hold off a whole colony of sand people with one blaster. [EOL],i
LUKE,"i know, but he's got enough vaporators going to make the place pay off. he needs me for just one more season. i can't leave him now. [EOL]",i
BIGGS,"i feel for you, luke, you're going to have to learn what seems to be important or what really is important. what good is all your uncle's work if it's taken over by the empire?... you know they're starting to nationalize commerce in the central systems...it won't be long before your uncle is merely a tenant, slaving for the greater glory of the empire. [EOL]",it
LUKE,it couldn't happen here. you said it yourself. the empire won't bother with this rock. [EOL],things
BIGGS,things always change. [EOL],i
LUKE,i wish i was going... are you going to be around long? [EOL],"no,"
BIGGS,"no, i'm leaving in the morning... [EOL]",then
LUKE,then i guess i won't see you. [EOL],maybe
BIGGS,maybe someday... i'll keep a lookout. [EOL],"well,"
LUKE,"well, i'll be at the academy next season... after that who knows. i won't be drafted into the imperial starfleet that's for sure... take care of yourself, you'll always be the best friend i've got. [EOL]",so
BIGGS,"so long, luke. [EOL]",artoo-detoo!
THREEPIO,artoo-detoo! it's you! it's you! [EOL],someone
FIRST TROOPER,someone was in the pod. the tracks go off in this direction. [EOL],"look,"
SECOND TROOPER,"look, sir - droids. [EOL]",wake
THREEPIO,wake up! wake up! [EOL],we're
THREEPIO,we're doomed. [EOL],do
THREEPIO,do you think they'll melt us down? [EOL],don't
THREEPIO,don't shoot! don't shoot! will this never end? [EOL],"luke,"
BERU,"luke, tell owen that if he gets a translator to be sure it speaks bocce. [EOL]",it
LUKE,it looks like we don't have much of a choice but i'll remind him. [EOL],i
OWEN,i have no need for a protocol droid. [EOL],sir
THREEPIO,sir - not in an environment such as this - that's why i've also been programmed for over thirty secondary functions that... [EOL],what
OWEN,what i really need is a droid that understands the binary languages of moisture vaporators. [EOL],vaporators!
THREEPIO,vaporators! sir - my first job was programming binary load lifters... very similar to your vaporators. you could say... [EOL],do
OWEN,do you speak bocce? [EOL],of
THREEPIO,"of course i can, sir. it's like a second language for me... i'm as fluent in bocce... [EOL]",all
OWEN,all right; shut up! i'll take this one. [EOL],shutting
THREEPIO,"shutting up, sir. [EOL]","luke,"
OWEN,"luke, take these two over to the garage, will you? i want you to have both of them cleaned up before dinner. [EOL]",but
LUKE,but i was going into toshi station to pick up some power converters... [EOL],you
OWEN,"you can waste time with your friends when your chores are done. now, come on, get to it! [EOL]",all
LUKE,"all right, come on! and the red one, come on. well, come on, red, let's go. [EOL]",uncle
LUKE,uncle owen... [EOL],yeah?
OWEN,yeah? [EOL],this
LUKE,this r2 unit has a bad motivator. look! [EOL],"hey,"
OWEN,"hey, what're you trying to push on us? [EOL]",excuse
THREEPIO,"excuse me, sir, but that r2 unit is in prime condition. a real bargain. [EOL]",what
LUKE,what about that one? [EOL],what
OWEN,what about that blue one? we'll take that one. [EOL],"yeah,"
LUKE,"yeah, take it away. [EOL]","uh,"
THREEPIO,"uh, i'm quite sure you'll be very pleased with that one, sir. he really is in first-class condition. i've worked with him before. here he comes. [EOL]","okay,"
LUKE,"okay, let's go. [EOL]","now,"
THREEPIO,"now, don't forget this! why i should stick my neck out for you is quite beyond my capacity! [EOL]",thank
THREEPIO,"thank the maker! this oil bath is going to feel so good. i've got such a bad case of dust contamination, i can barely move! [EOL]",it
LUKE,"it just isn't fair. oh, biggs is right. i'm never gonna get out of here! [EOL]",is
THREEPIO,is there anything i might do to help? [EOL],"well,"
LUKE,"well, not unless you can alter time, speed up the harvest, or teleport me off this rock! [EOL]",i
THREEPIO,"i don't think so, sir. i'm only a droid and not very knowledgeable about such things. not on this planet, anyways. as a matter of fact, i'm not even sure which planet i'm on. [EOL]","well,"
LUKE,"well, if there's a bright center to the universe, you're on the planet that it's farthest from. [EOL]",i
THREEPIO,"i see, sir. [EOL]","uh,"
LUKE,"uh, you can call me luke. [EOL]",i
THREEPIO,"i see, sir luke. [EOL]",just
LUKE,just luke. [EOL],and
THREEPIO,"and i am see-threepio, human-cyborg relations, and this is my counterpart, artoo-detoo. [EOL]",hello.
LUKE,hello. [EOL],you
LUKE,you got a lot of carbon scoring here. it looks like you boys have seen a lot of action. [EOL],with
THREEPIO,"with all we've been through, sometimes i'm amazed we're in as good condition as we are, what with the rebellion and all. [EOL]",you
LUKE,you know of the rebellion against the empire? [EOL],that's
THREEPIO,"that's how we came to be in your service, if you take my meaning, sir. [EOL]",have
LUKE,have you been in many battles? [EOL],"several,"
THREEPIO,"several, i think. actually, there's not much to tell. i'm not much more than an interpreter, and not very good at telling stories. well, not at making them interesting, anyways. [EOL]","well,"
LUKE,"well, my little friend, you've got something jammed in here real good. were you on a starcruiser or... [EOL]",help
LEIA,"help me, obi-wan kenobi. you'remy only hope. [EOL]",what's
LUKE,what's this? [EOL],what
THREEPIO,what is what?!? he asked you a question...what is that? [EOL],help
LEIA,"help me, obi-wan kenobi. you're my only hope. help me, obi-wan kenobi. you're my only hope. [EOL]","oh,"
THREEPIO,"oh, he says it's nothing, sir. merely a malfunction. old data. pay it no mind. [EOL]",who
LUKE,who is she? she's beautiful. [EOL],i'm
THREEPIO,"i'm afraid i'm not quite sure, sir. [EOL]",help
LEIA,"help me, obi-wan kenobi... [EOL]",i
THREEPIO,"i think she was a passenger on our last voyage. a person of some importance, sir - i believe. our captain was attached to... [EOL]",is
LUKE,is there more to this recording? [EOL],behave
THREEPIO,"behave yourself, artoo. you're going to get us in trouble. it's all right, you can trust him. he's our new master. [EOL]",he
THREEPIO,"he says he's the property of obi-wan kenobi, a resident of these parts. and it's a private message for him. quite frankly, sir, i don't know what he's talking about. our last master was captain antilles, but with what we've been through, this little r2 unit has become a bit eccentric. [EOL]",obi-wan
LUKE,obi-wan kenobi? i wonder if he means old ben kenobi? [EOL],i
THREEPIO,"i beg your pardon, sir, but do you know what he's talking about? [EOL]","well,"
LUKE,"well, i don't know anyone named obi-wan, but old ben lives out beyond the dune sea. he's kind of a strange old hermit. [EOL]",i
LUKE,i wonder who she is. it sounds like she's in trouble. i'd better play back the whole thing. [EOL],he
THREEPIO,"he says the restraining bolt has short circuited his recording system. he suggests that if you remove the bolt, he might be able to play back the entire recording. [EOL]",h'm?
LUKE,"h'm? oh, yeah, well, i guess you're too small to run away on me if i take this off! okay. [EOL]",there
LUKE,there you go. [EOL],"well,"
LUKE,"well, wait a minute. where'd she go? bring her back! play back the entire message. [EOL]",been
THREEPIO,been playing. the one you're carrying inside your rusty innards! [EOL],luke?
AUNT BERU,luke? luke! come to dinner! [EOL],all
LUKE,"all right, i'll be right there, aunt beru. [EOL]",i'm
THREEPIO,"i'm sorry, sir, but he appears to have picked up a slight flutter. [EOL]","well,"
LUKE,"well, see what you can do with him. i'll be right back. [EOL]",just
THREEPIO,just you reconsider playing that message for him. [EOL],"no,"
THREEPIO,"no, i don't think he likes you at all. [EOL]","no,"
THREEPIO,"no, i don't like you either. [EOL]",you
LUKE,"you know, i think that r2 unit we bought might have been stolen. [EOL]",what
OWEN,what makes you think that? [EOL],"well,"
LUKE,"well, i stumbled across a recording while i was cleaning him. he says he belongs to someone called obi-wan kenobi. [EOL]",i
LUKE,"i thought he might have meant ben. do you know what he's talking about? well, i wonder if he's related to ben. [EOL]",that
OWEN,that old man's just a crazy wizard. tomorrow i want you to take that r2 unit into anchorhead and have its memory flushed. that'll be the end of it. it belongs to us now. [EOL],but
LUKE,but what if this obi-wan comes looking for him? [EOL],he
OWEN,"he won't, i don't think he exists any more. he died about the same time as your father. [EOL]",he
LUKE,he knew my father? [EOL],i
OWEN,i told you to forget it. your only concern is to prepare the new droids for tomorrow. in the morning i want them on the south ridge working out those condensers. [EOL],"yes,"
LUKE,"yes, sir. i think those new droids are going to work out fine. in fact, i, uh, was also thinking about our agreement about my staying on another season. and if these new droids do work out, i want to transmit my application to the academy this year. [EOL]",you
OWEN,you mean the next semester before harvest? [EOL],"sure,"
LUKE,"sure, there're more than enough droids. [EOL]",harvest
OWEN,harvest is when i need you the most. only one more season. this year we'll make enough on the harvest so i'll be able to hire some more hands. and then you can go to the academy next year. [EOL],you
OWEN,"you must understand i need you here, luke. [EOL]",but
LUKE,but it's a whole 'nother year. [EOL],"look,"
OWEN,"look, it's only one more season. [EOL]","yeah,"
LUKE,"yeah, that's what you said last year when biggs and tank left. [EOL]",it
LUKE,it looks like i'm going nowhere. i have to finish cleaning those droids. [EOL],"owen,"
AUNT BERU,"owen, he can't stay here forever. most of his friends have gone. it means so much to him. [EOL]",i'll
OWEN,i'll make it up to him next year. i promise. [EOL],luke's
AUNT BERU,"luke's just not a farmer, owen. he has too much of his father in him. [EOL]",that's
OWEN,that's what i'm afraid of. [EOL],what
LUKE,what are you doing hiding there? [EOL],it
THREEPIO,"it wasn't my fault, sir. please don't deactivate me. i told him not to go, but he's faulty, malfunctioning; kept babbling on about his mission. [EOL]","oh,"
LUKE,"oh, no! [EOL]",that
THREEPIO,that r2 unit has always been a problem. these astro-droids are getting quite out of hand. even i can't understand their logic at times. [EOL],how
LUKE,how could i be so stupid? he's nowhere in sight. blast it! [EOL],pardon
THREEPIO,"pardon me, sir, but couldn't we go after him? [EOL]",it's
LUKE,it's too dangerous with all the sand people around. we'll have to wait until morning. [EOL],"luke,"
OWEN,"luke, i'm shutting the power down for the night. [EOL]",all
LUKE,"all right, i'll be there in a few minutes. boy, am i gonna get it. [EOL]",you
LUKE,you know that little droid is going to cause me a lot of trouble. [EOL],"oh,"
THREEPIO,"oh, he excels at that, sir. [EOL]",luke?
OWEN,luke? luke? luke? where could he be loafing now! [EOL],have
OWEN,have you seen luke this morning? [EOL],he
AUNT BERU,"he said he had some things to do before he started today, so he left early. [EOL]",uh?
OWEN,uh? did he take those two new droids with him? [EOL],i
AUNT BERU,i think so. [EOL],"well,"
OWEN,"well, he'd better have those units in the south range repaired bemidday or there'll be hell to pay! [EOL]",how's
LUKE,how's that. [EOL],old
LUKE,"old ben kenobi lives out in this direction somewhere, but i don't see how that r2 unit could have come this far. we must have missed him. uncle owen isn't going to take this very well. [EOL]","sir,"
THREEPIO,"sir, would it help if you told him it was my fault. [EOL]",sure.
LUKE,sure. he needs you. he'd probably only deactivate you for a day or so... [EOL],deactivate!
THREEPIO,"deactivate! well, on the other hand if you hadn't removed his restraining bolt... [EOL]","wait,"
LUKE,"wait, there's something dead ahead on the scanner. it looks like our droid... hit the accelerator. [EOL]","hey,"
LUKE,"hey, whoa, just where do you think you're going? [EOL]",master
THREEPIO,"master luke here is your rightful owner. we'll have no more of this obi-wan kenobi jibberish... and don't talk to me of your mission, either. you're fortunate he doesn't blast you into a million pieces right here. [EOL]","well,"
LUKE,"well, come on. it's getting late. i only hope we can get back before uncle owen really blows up. [EOL]",if
THREEPIO,"if you don't mind my saying so, sir, i think you should deactivate the little fugitive until you've gotten him back to your workshop. [EOL]","no,"
LUKE,"no, he's not going to try anything. [EOL]",what's
LUKE,what's wrong with him now? [EOL],oh
THREEPIO,"oh my... sir, he says there are several creatures approaching from the southeast. [EOL]",sand
LUKE,"sand people! or worse! come on, let's have a look. come on. [EOL]",there
LUKE,"there are two banthas down there but i don't see any... wait a second, they're sand people all right. i can see one of them now. [EOL]",hello
BEN,hello there! come here my little friend. don't be afraid. [EOL],don't
BEN,"don't worry, he'll be all right. [EOL]",what
LUKE,what happened? [EOL],rest
BEN,"rest easy, son, you've had a busy day. you're fortunate you're still in one piece. [EOL]",ben?
LUKE,"ben? ben kenobi! boy, am i glad to see you! [EOL]",the
BEN,"the jundland wastes are not to be traveled lightly. tell me, young luke, what brings you out this far? [EOL]","oh,"
LUKE,"oh, this little droid! i think he's searching for his former master... i've never seen such devotion in a droid before... there seems tobe no stopping him. he claims to be the property of an obi-wan kenobi. is he a relative of yours? do you know who he's talking about? [EOL]",obi-wan
BEN,obi-wan kenobi... obi-wan? now thats a name i haven't heard in a long time... a long time. [EOL],i
LUKE,i think my uncle knew him. he said he was dead. [EOL],"oh,"
BEN,"oh, he's not dead, no... not yet. [EOL]",you
LUKE,you know him! [EOL],well
BEN,"well of course, of course i know him. he's me! i haven't gone by the name obi-wan since oh, before you were born. [EOL]",then
LUKE,then the droid does belong to you. [EOL],don't
BEN,don't seem to remember ever owning a droid. very interesting... [EOL],i
BEN,i think we better get indoors. the sand people are easily startled but they will soon be back and in greater numbers. [EOL],...
LUKE,... threepio! [EOL],where
THREEPIO,where am i? i must have taken a bad step... [EOL],can
LUKE,can you stand? we've got to get out of here before the sand people return. [EOL],i
THREEPIO,"i don't think i can make it. you go on, master luke. there's no sense in you risking yourself on my account. i'm done for. [EOL]","no,"
LUKE,"no, you're not. what kind of talk is that? [EOL]","quickly,"
BEN,"quickly, son... they're on the move. [EOL]","no,"
LUKE,"no, my father didn't fight in the wars. he was a navigator on a spice freighter. [EOL]",that's
BEN,that's what your uncle told you. he didn't hold with your father's ideals. thought he should have stayed here and not gotten involved. [EOL],you
LUKE,you fought in the clone wars? [EOL],"yes,"
BEN,"yes, i was once a jedi knight the same as your father. [EOL]",i
LUKE,i wish i'd known him. [EOL],he
BEN,"he was the best star-pilot in the galaxy, and a cunning warrior. i understand you've become quite a good pilot yourself. and he was a good friend. which reminds me... [EOL]",i
BEN,"i have something here for you. your father wanted you to have this when you were old enough, but your uncle wouldn't allow it. he feared you might follow old obi-wan on some damned-fool idealistic crusade like your father did. [EOL]","sir,"
THREEPIO,"sir, if you'll not be needing me, i'll close down for awhile. [EOL]","sure,"
LUKE,"sure, go ahead. [EOL]",what
LUKE,what is it? [EOL],your
BEN,your fathers lightsaber. this is the weapon of a jedi knight. not as clumsy or as random as a blaster. [EOL],an
BEN,"an elegant weapon for a morecivilized time. for over a thousand generations the jedi knights were the guardians of peace and justice in the old republic. before the dark times, before the empire. [EOL]",how
LUKE,how did my father die? [EOL],a
BEN,"a young jedi named darth vader, who was a pupil of mine until he turned to evil, helped the empire hunt down and destroy the jedi knights. he betrayed and murdered your father. now the jedi are all but extinct. vader was seduced by the dark side of the force. [EOL]",the
LUKE,the force? [EOL],"well,"
BEN,"well, the force is what gives the jedi his power. it's an energy field created by all living things. it surrounds us and penetrates us. it binds the galaxy together. [EOL]","now,"
BEN,"now, let's see if we can't figure out what you are, my little friend. and where you come from. [EOL]",i
LUKE,i saw part of the message he was... [EOL],i
BEN,i seem to have found it. [EOL],general
LEIA,"general kenobi, years ago you served my father in the clone wars. now he begs you to help him in his struggle against the empire. i regret that i am unable to present my father's request to you in person, but my ship has fallen under attack and i'm afraid my mission to bring you to alderaan has failed. i have placed information vital to the survival of the rebellion into the memory systems of this r2 unit. my father will know how to retrieve it. you must see this droid safely delivered to him on alderaan. this is our most desperate hour. help me, obi-wan kenobi, you're my only hope. [EOL]",you
BEN,you must learn the ways of the force if you're to come with me to alderaan. [EOL],alderaan?
LUKE,"alderaan? i'm not going to alderaan. i've got to go home. it's late, i'm in for it as it is. [EOL]",i
BEN,"i need your help, luke. i'm getting too old for this sort of thing.she needs your help. [EOL]",i
LUKE,i can't get involved! i've got work to do! it's not that i like the empire. i hate it! but there's nothing i can do about it right now. it's such a long way from here. [EOL],that's
BEN,that's your uncle talking. [EOL],"oh,"
LUKE,"oh, god, my uncle. how am i ever going to explain this? [EOL]",learn
BEN,"learn about the force, luke. [EOL]","look,"
LUKE,"look, i can take you as far as anchorhead. you can get a transport there to mos eisley or wherever you're going. [EOL]",you
BEN,"you must do what you feel is right, of course. [EOL]",until
TAGGE,until this battle station is fully operational we are vulnerable. the rebel alliance is too well equipped. they're more dangerous than you realize. [EOL],dangerous
MOTTI,"dangerous to your starfleet, commander; not to this battle station! [EOL]",the
TAGGE,the rebellion will continue to gain support in the imperial senate as long as.... [EOL],the
TARKIN,the imperial senate will no longer be of any concern to us. i've just received word that the emperor has dissolved the council permanently. the last remnants of the old republic have been swept away. [EOL],that's
TAGGE,that's impossible! how will the emperor maintain control without the bureaucracy? [EOL],the
TARKIN,the regional governors now have direct control over territories. fear will keep the local systems in line. fear of this battle station. [EOL],and
TAGGE,"and what of the rebellion? if the rebels have obtained a complete technical readout of this station, it is possible, however unlikely, that they might find a weakness and exploit it. [EOL]",the
VADER,the plans you refer to will soon be back in our hands. [EOL],any
MOTTI,"any attack made by the rebels against this station would be a useless gesture, no matter what technical data they've obtained. this station is now the ultimate power in the universe. i suggest we use it! [EOL]",don't
VADER,don't be too proud of this technological terror you've constructed. the ability to destroy a planet is insignificant next to the power of the force. [EOL],don't
MOTTI,"don't try to frighten us with your sorcerer's ways, lord vader. your sad devotion to that ancient religion has not helped you conjure up the stolen data tapes, or given you clairvoyance enough to find the rebel's hidden fort... [EOL]",i
VADER,i find your lack of faith disturbing. [EOL],enough
TARKIN,"enough of this! vader, release him! [EOL]",as
VADER,as you wish. [EOL],this
TARKIN,this bickering is pointless. lord vader will provide us with the location of the rebel fortress by the time this station is operational. we will then crush the rebellion with one swift stroke. [EOL],it
LUKE,"it looks like sand people did this, all right. look, here are gaffi sticks, bantha tracks. it's just... i never heard of them hitting anything this big before. [EOL]",they
BEN,they didn't. but we are meant to think they did. these tracks are side by side. sand people always ride single file to hide there numbers. [EOL],these
LUKE,these are the same jawas that sold us artoo and threepio. [EOL],and
BEN,"and these blast points, too accurate for sand people. only imperial stormtroopers are so precise. [EOL]",why
LUKE,why would imperial troops want to slaughter jawas? [EOL],if
LUKE,"if they traced the robots here, they may have learned who they sold them to. and that would lead them back home! [EOL]","wait,"
BEN,"wait, luke! it's too dangerous. [EOL]",uncle
LUKE,uncle owen! aunt beru! uncle owen! [EOL],"and,"
VADER,"and, now your highness, we will discuss the location of your hidden rebel base. [EOL]",there's
BEN,"there's nothing you could have done, luke, had you been there. you'd have been killed, too, and the droids would now be in the hands of the empire. [EOL]",i
LUKE,i want to come with you to alderaan. there's nothing here for me now. i want to learn the ways of the force and become a jedi like my father. [EOL],mos
BEN,mos eisley spaceport. you will never find a more wretched hive of scum and villainy. we must be cautious. [EOL],how
TROOPER,how long have you had these droids? [EOL],about
LUKE,about three or four seasons. [EOL],they're
BEN,they're for sale if you want them. [EOL],let
TROOPER,let me see your identification. [EOL],you
BEN,you don't need to see his identification. [EOL],we
TROOPER,we don't need to see his identification. [EOL],looking
BEN,looking for. [EOL],these
TROOPER,these are not the droids we're looking for. [EOL],he
BEN,he can go about his business. [EOL],you
TROOPER,you can go about your business. [EOL],move
BEN,move along. [EOL],move
TROOPER,move along. move along. [EOL],i
THREEPIO,i can't abide these jawas. disgusting creatures. [EOL],go
LUKE,"go on, go on. i can't understand how we got by those troopers. i thought we were dead. [EOL]",the
BEN,the force can have a strong influence on the weak-minded. you will find it a powerful ally. [EOL],do
LUKE,do you really think we're going to find a pilot here that'll take us to alderaan? [EOL],"well,"
BEN,"well, most of the best freighter pilots can be found here. only watch your step. this place can be a little rough. [EOL]",i'm
LUKE,i'm ready for anything. [EOL],come
THREEPIO,"come along, artoo. [EOL]",we
BARTENDER,we don't serve their kind here! [EOL],what?
LUKE,what? [EOL],your
BARTENDER,your droids. they'll have to wait outside. we don't want them here. [EOL],"listen,"
LUKE,"listen, why don't you wait out by the speeder. we don't want any trouble. [EOL]",i
THREEPIO,i heartily agree with you sir. [EOL],negola
CREATURE,negola dewaghi wooldugger?!? [EOL],he
HUMAN,he doesn't like you. [EOL],i'm
LUKE,i'm sorry. [EOL],i
HUMAN,i don't like you either [EOL],don't
HUMAN,don't insult us. you just watch yourself. we're wanted men. i have the death sentence on twelve systems. [EOL],i'll
LUKE,i'll be careful than. [EOL],you'll
HUMAN,you'll be dead. [EOL],this
BEN,this little one isn't worth the effort. come let me buy you something... [EOL],no
BARTENDER,no blasters! no blaster! [EOL],this
BEN,this is chewbacca. he's first-mate on a ship that might suit our needs. [EOL],i
THREEPIO,i don't like the look of this. [EOL],han
HAN,han solo. i'm captain of the millennium falcon. chewie here tells me you're looking for passage to the alderaan system. [EOL],"yes,"
BEN,"yes, indeed. if it's a fast ship. [EOL]",fast
HAN,fast ship? you've never heard of the millennium falcon? [EOL],should
BEN,should i have? [EOL],it's
HAN,it's the ship that made the kessel run in less than twelve parsecs! [EOL],i've
HAN,"i've outrun imperial starships, not the local bulk-cruisers, mind you. i'm talking about the big corellian ships now. she's fast enough for you, old man. what's the cargo? [EOL]",only
BEN,"only passengers. myself, the boy, two droids, and no questions asked. [EOL]",what
HAN,what is it? some kind of local trouble? [EOL],let's
BEN,let's just say we'd like to avoid any imperial entanglements. [EOL],"well,"
HAN,"well, that's the real trick, isn't it? and it's going to cost you something extra. ten thousand in advance. [EOL]",ten
LUKE,ten thousand? we could almost buy our own ship for that! [EOL],but
HAN,"but who's going to fly it, kid! you? [EOL]",you
LUKE,you bet i could. i'm not such a bad pilot myself! we don't have to sit here and listen... [EOL],we
BEN,"we haven't that much with us. but we could pay you two thousand now, plus fifteen when we reach alderaan. [EOL]","seventeen,"
HAN,"seventeen, huh! [EOL]",okay.
HAN,okay. you guys got yourself a ship. we'll leave as soon as you're ready. docking bay ninety-four. [EOL],ninety-four.
BEN,ninety-four. [EOL],looks
HAN,looks like somebody's beginning to take an interest in your handiwork. [EOL],all
TROOPER,"all right, we'll check it out. [EOL]",seventeen
